City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
58,Vila Velha,-20.3297,-40.2925,80.6,78,0,13.8,BR,2021-02-02 21:57:56
59,Hay River,60.8156,-115.7999,-13.0,77,100,12.66,CA,2021-02-02 21:57:19
60,Quatre Cocos,-20.2078,57.7625,80.6,74,75,11.5,MU,2021-02-02 21:57:56
61,Narsaq,60.9167,-46.05,23.0,58,90,3.44,GL,2021-02-02 21:57:57
62,Pisco,-13.7,-76.2167,82.4,51,0,17.27,PE,2021-02-02 21:57:57
63,Hobart,-42.8794,147.3294,59.0,72,75,2.3,AU,2021-02-02 21:53:36
64,Kaeo,-35.1,173.7833,73.99,59,2,4.0,NZ,2021-02-02 21:57:57
65,Japura,-0.3167,102.35,72.05,97,100,1.63,ID,2021-02-02 21:57:57
66,Chokurdakh,70.6333,147.9167,-8.7,89,59,8.25,RU,2021-02-02 21:57:57
67,Ribeira Brava,32.65,-17.0667,61.0,88,51,4.0,PT,2021-02-02 21:57:57
68,Salisbury,51.0693,-1.7957,50.0,87,75,20.71,GB,2021-02-02 21:57:57
69,Airai,-8.9266,125.4092,61.47,100,100,2.06,TL,2021-02-02 21:57:57
70,Atuona,-9.8,-139.0333,78.1,76,3,14.23,PF,2021-02-02 21:57:58
71,Bambous Virieux,-20.3428,57.7575,80.6,74,75,11.5,MU,2021-02-02 21:57:58
72,Madang,-5.2246,145.7966,76.98,89,100,8.63,PG,2021-02-02 21:57:58
73,Santiago Del Estero,-27.7951,-64.2615,67.82,79,100,12.5,AR,2021-02-02 21:54:11
74,Punta Alta,-38.8759,-62.0736,73.9,50,28,15.21,AR,2021-02-02 21:57:58
75,Houma,29.5958,-90.7195,59.0,35,1,8.05,US,2021-02-02 21:57:58
76,Paita,-5.0892,-81.1144,80.6,65,0,11.5,PE,2021-02-02 21:57:58
77,Hermanus,-34.4187,19.2345,63.0,90,0,7.23,ZA,2021-02-02 21:57:15
78,Hibbing,47.4272,-92.9377,23.0,79,90,12.66,US,2021-02-02 21:57:59
