City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
513,Ambunti,PG,29.25,moderate rain,-4.2365,142.8448,Ambunti Lodge
517,Gandara,PH,28.03,scattered clouds,12.013,124.8118,"Legislative Building of San Jorge,Samar"
525,Sabang,ID,27.48,scattered clouds,5.8933,95.3214,Hotel Citra
526,Itarema,BR,25.52,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
531,Santa Cruz Cabralia,BR,25.0,few clouds,-16.2781,-39.0247,Portobali Hotel
532,The Valley,AI,26.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
534,Harper,LR,25.68,broken clouds,4.375,-7.7169,Screensaver
536,Dhidhdhoo,MV,27.39,overcast clouds,6.8833,73.1,Dhidhoo beach
545,Tevaitoa,PF,27.87,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
546,Alice Springs,AU,25.0,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
553,Point Pedro,LK,25.67,scattered clouds,9.8167,80.2333,Gtr homes
568,Kulhudhuffushi,MV,27.36,overcast clouds,6.6221,73.07,Haajy Guest House 1
575,Palmas,BR,25.0,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
593,Marawi,PH,27.22,broken clouds,7.9986,124.2928,Derogongan Residence
600,Namatanai,PG,29.1,light rain,-3.6667,152.4333,Namatanai Hotel
602,Galle,LK,26.67,scattered clouds,6.0367,80.217,Amangalla
603,Hambantota,LK,25.0,scattered clouds,6.1241,81.1185,Bungalow 63
607,Kalianget,ID,28.87,broken clouds,-7.05,113.9333,Pesanggrahan Garam
614,Muncar,ID,29.43,scattered clouds,-8.4333,114.3333,Zaky Homestay
616,Guarapari,BR,26.11,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
625,Kralendijk,BQ,27.0,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
627,Pundaguitan,PH,27.39,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
630,Kilakarai,IN,25.36,few clouds,9.2333,78.7833,Geohomz Jamath Kilakarai
635,Aloleng,PH,29.02,scattered clouds,16.1307,119.7824,Agno Umbrella Rocks
645,Puerto Carreno,CO,26.31,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
646,Ugoofaaru,MV,27.61,overcast clouds,5.6667,73.0,Ungoofaaru Inn
652,Portobelo,PA,26.11,broken clouds,9.55,-79.65,Scuba Portobelo
656,Kununurra,AU,33.0,broken clouds,-15.7667,128.7333,Hotel Kununurra
663,Tiarei,PF,27.78,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
664,Manggar,ID,30.11,light rain,-2.8833,108.2667,Guest Hotel
669,Aborlan,PH,31.0,scattered clouds,9.4352,118.5492,Kevina Transient House
675,Mayumba,GA,26.16,light rain,-3.432,10.6554,LIKWALE LODGE
677,Zhuhai,CN,25.0,clear sky,22.2769,113.5678,珠海粤财假日酒店
682,Karratha,AU,29.94,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
686,Lorengau,PG,25.64,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
